ofac_id,type,uk_id
6901,Individual,6901
6904,Individual,6904
6905,Individual,6905
6907,Individual,6907
6908,Individual,6908
6916,Individual,6916
6923,Individual,6923
6925,Individual,6925
6927,Individual,6927
6928,Individual,6928
6935,Entity,6935
6941,Individual,6941
6944,Individual,6944
6946,Individual,6946
6947,Individual,6947
6951,Individual,6951
7114,Entity,7114
7141,Entity,7141
7149,Entity,7149
7164,Individual,7164
7167,Individual,7167
7169,Individual,7169
7170,Individual,7170
7172,Individual,7172
7187,Individual,7187
7199,Entity,7199
7209,Individual,7209
7213,Individual,7213
7220,Individual,7220
7223,Individual,7223
7255,Individual,7255
7257,Individual,7257
7258,Individual,7258
7281,Individual,7281
7303,Individual,7303
7329,Individual,7329
7480,Individual,7480
7481,Individual,7481
7483,Individual,7483
7489,Individual,7489
7532,Individual,7532
7539,Individual,7539
7574,Individual,7574
7575,Individual,7575
7618,Individual,7618
7795,Individual,7795
7797,Individual,7797
7798,Individual,7798
7808,Individual,7808
7834,Individual,7834
7835,Individual,7835
7838,Individual,7838
7840,Individual,7840
7842,Individual,7842
7843,Individual,7843
7848,Individual,7848
7854,Individual,7854
7860,Individual,7860
7863,Individual,7863
7865,Individual,7865
7866,Individual,7866
7867,Individual,7867
7868,Individual,7868
7874,Individual,7874
7875,Individual,7875
7876,Individual,7876
7878,Individual,7878
7879,Individual,7879
7881,Individual,7881
7886,Individual,7886
7887,Individual,7887
7888,Individual,7888
7890,Individual,7890
8134,Entity,8134
8212,Entity,8212
8213,Entity,8213
8214,Entity,8214
8236,Entity,8236
8237,Entity,8237
8248,Individual,8248
8251,Individual,8251
8252,Individual,8252
8253,Individual,8253
8360,Entity,8360
8380,Individual,8380
8384,Individual,8384
8385,Individual,8385
8744,Entity,8744
10441,Entity,10441
10442,Entity,10442
10443,Entity,10443
10445,Entity,10445
10447,Entity,10447
10448,Entity,10448
10451,Entity,10451
10634,Individual,10634
10636,Individual,10636
10648,Entity,10648
10652,Entity,10652
10653,Entity,10653
10654,Entity,10654
10655,Entity,10655
10658,Entity,10658
10662,Individual,10662
10667,Individual,10667
10668,Individual,10668
10690,Individual,10690
10691,Individual,10691
10692,Individual,10692
10893,Entity,10893
10894,Entity,10894
10929,Individual,10929
10982,Individual,10982
10985,Individual,10985
10992,Individual,10992
11198,Entity,11198
11225,Entity,11225
11236,Individual,11236
11237,Individual,11237
11274,Individual,11274
11275,Individual,11275
11276,Individual,11276
11277,Individual,11277
11278,Individual,11278
11279,Individual,11279
11281,Individual,11281
11556,Entity,11556
11581,Entity,11581
11646,Individual,11646
11648,Individual,11648
11699,Individual,11699
11700,Individual,11700
11705,Individual,11705
11723,Individual,11723
11743,Individual,11743
11749,Entity,11749
11786,Individual,11786
11793,Individual,11793
11798,Individual,11798
11799,Individual,11799
11800,Individual,11800
11801,Individual,11801
11802,Individual,11802
11803,Individual,11803
11806,Individual,11806
11807,Individual,11807
11808,Individual,11808
11901,Individual,11901
11902,Individual,11902
11928,Individual,11928
11931,Individual,11931
11933,Individual,11933
11934,Individual,11934
11935,Individual,11935
11937,Individual,11937
12016,Individual,12016
12021,Individual,12021
12023,Individual,12023
12024,Individual,12024
12025,Individual,12025
12029,Individual,12029
12032,Entity,12032
12055,Entity,12055
12056,Entity,12056
12060,Individual,12060
12175,Individual,12175
12176,Individual,12176
12177,Individual,12177
12178,Individual,12178
12179,Individual,12179
12180,Individual,12180
12182,Individual,12182
12184,Individual,12184
12211,Individual,12211
12216,Individual,12216
12217,Individual,12217
12218,Individual,12218
12277,Entity,12277
12416,Individual,12416
12418,Individual,12418
12419,Individual,12419
12423,Individual,12423
12425,Entity,12425
12426,Entity,12426
12446,Entity,12446
12449,Entity,12449
12452,Entity,12452
12453,Entity,12453
12462,Individual,12462
12463,Individual,12463
12479,Individual,12479
12483,Entity,12483
12553,Entity,12553
12555,Individual,12555
12556,Individual,12556
12627,Individual,12627
12628,Individual,12628
12629,Individual,12629
12631,Individual,12631
12632,Individual,12632
12634,Individual,12634
12635,Individual,12635
12669,Individual,12669
12690,Individual,12690
12696,Entity,12696
12722,Individual,12722
12724,Individual,12724
12725,Individual,12725
12733,Entity,12733
12735,Individual,12735
12737,Individual,12737
12783,Individual,12783
12784,Individual,12784
12785,Individual,12785
12787,Individual,12787
12788,Individual,12788
12812,Individual,12812
12816,Entity,12816
12817,Entity,12817
12839,Individual,12839
12842,Individual,12842
12843,Individual,12843
12845,Individual,12845
12847,Entity,12847
12848,Entity,12848
12866,Entity,12866
12868,Individual,12868
12871,Entity,12871
12872,Individual,12872
12883,Individual,12883
12884,Individual,12884
12890,Individual,12890
12891,Individual,12891
12892,Individual,12892
12893,Individual,12893
12915,Individual,12915
12917,Individual,12917
12919,Individual,12919
12920,Individual,12920
12921,Individual,12921
12922,Individual,12922
12923,Individual,12923
12924,Individual,12924
12926,Individual,12926
12929,Individual,12929
12930,Individual,12930
12931,Individual,12931
12940,Individual,12940
12958,Individual,12958
12979,Entity,12979
12983,Entity,12983
12984,Entity,12984
12985,Entity,12985
12988,Individual,12988
12989,Individual,12989
12991,Individual,12991
12992,Individual,12992
12993,Individual,12993
12994,Individual,12994
12996,Individual,12996
12997,Individual,12997
12998,Individual,12998
13007,Entity,13007
13023,Individual,13023
13024,Individual,13024
13025,Individual,13025
13026,Entity,13026
13063,Individual,13063
13072,Individual,13072
13073,Individual,13073
13086,Individual,13086
13087,Individual,13087
13088,Individual,13088
13090,Individual,13090
13092,Individual,13092
13093,Individual,13093
13095,Individual,13095
13097,Individual,13097
13099,Individual,13099
13103,Individual,13103
13104,Individual,13104
13105,Individual,13105
13106,Individual,13106
13107,Individual,13107
13108,Individual,13108
13112,Individual,13112
13124,Individual,13124
13126,Individual,13126
13127,Individual,13127
13140,Entity,13140
13141,Entity,13141
13143,Entity,13143
13148,Individual,13148
13149,Individual,13149
13150,Individual,13150
13151,Individual,13151
13153,Individual,13153
13154,Individual,13154
13157,Individual,13157
13158,Individual,13158
13170,Individual,13170
13171,Individual,13171
13172,Individual,13172
13173,Individual,13173
13347,Individual,13347
13350,Individual,13350
13351,Individual,13351
13355,Entity,13355
13357,Individual,13357
13358,Individual,13358
13359,Individual,13359
13360,Individual,13360
13366,Individual,13366
13367,Individual,13367
13368,Individual,13368
13369,Individual,13369
13370,Individual,13370
13376,Individual,13376
13377,Individual,13377
13395,Individual,13395
13396,Individual,13396
13406,Individual,13406
13407,Individual,13407
13408,Individual,13408
13409,Individual,13409
13413,Individual,13413
13414,Individual,13414
13416,Individual,13416
13417,Individual,13417
13422,Individual,13422
13431,Entity,13431
13447,Individual,13447
13456,Individual,13456
13471,Individual,13471
13479,Individual,13479
13480,Individual,13480
13481,Individual,13481
